,flow,volume,vortex,side_f,side_h1,PWG,meta
0,0.0,0.0,275.0,1500.0,5000.0,ATS24*21.0,DigiDoc 1
1,0.0,0.0,275.0,1500.0,5000.0,ATS24*21.0,DigiDoc 1
2,0.0,0.0,275.0,1500.0,5000.0,ATS24*21.0,DigiDoc 1
3,0.0,0.0,275.0,1500.0,5000.0,ATS24*21.0,DigiDoc 1
4,0.0,0.0,275.0,1500.0,5000.0,ATS24*21.0,DigiDoc 1
5,0.0,0.0,275.0,1500.0,5000.0,ATS24*21.0,DigiDoc 1
6,0.0,0.0,275.0,1500.0,5000.0,ATS24*21.0,DigiDoc 1
7,0.0,0.0,275.0,1500.0,5000.0,ATS24*21.0,DigiDoc 1
8,0.0,0.0,275.0,1500.0,5000.0,ATS24*21.0,DigiDoc 1
9,0.0,0.0,275.0,1500.0,5000.0,ATS24*21.0,DigiDoc 1
10,0.0,0.0,275.0,1500.0,5000.0,ATS24*21.0,DigiDoc 1
11,0.0,0.0,339.599609375,1500.0,5000.0,ATS24*21.0,DigiDoc 1
12,0.0,0.0,404.19921875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
13,0.0,0.0,404.19921875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
14,0.0,0.0,404.19921875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
15,0.0,0.0,404.19921875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
16,0.0,0.0,404.19921875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
17,0.0,0.0,404.19921875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
18,0.0,0.0,404.19921875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
19,0.0,0.0,404.19921875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
20,0.0,0.0,404.19921875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
21,0.0,0.0,404.19921875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
22,0.0,0.0,425.732421875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
23,0.0,0.0,425.732421875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
24,0.0,0.0,425.732421875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
25,0.0,0.0,425.732421875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
26,0.0,0.0,425.732421875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
27,0.0,0.0,425.732421875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
28,0.0,0.0,425.732421875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
29,0.0,0.0,425.732421875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
30,0.0,0.0,425.732421875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
31,0.0,0.0,425.732421875,1500.0,5000.0,ATS24*21.0,DigiDoc 1
32,0.0,0.0,490.33203125,1500.0,5000.0,ATS24*21.0,DigiDoc 1
33,0.0,0.0,554.931640625,1500.0,5000.0,ATS24*21.0,DigiDoc 1
34,0.0,0.0,619.53125,1500.0,5000.0,ATS24*21.0,DigiDoc 1
35,0.0,0.0,641.064453125,1500.0,5000.0,ATS24*21.0,DigiDoc 1
36,0.0,0.0,641.064453125,1500.0,5000.0,ATS24*21.0,DigiDoc 1
37,0.0,0.0,641.064453125,1500.0,5000.0,ATS24*21.0,DigiDoc 1
38,0.0,0.0,641.064453125,1500.0,5000.0,ATS24*21.0,DigiDoc 1
39,0.0,0.0,641.064453125,1521.53320312,5000.0,ATS24*21.0,DigiDoc 1
40,0.0,0.0,641.064453125,1607.66601562,5000.0,ATS24*21.0,DigiDoc 1
